sentiment,xie_hou_yu
3,(犬肖)狗四界走－死啊
1,䟉仔麵－䟉䟉趒(嚓嚓趒)
3,一丈差九尺－差遠咧
3,一丈欠九尺－差遠咧
2,一世人嫁一個尫－(不二媳)不二價
3,一丘棺材睏兩人－死對頭
3,一二三五六七八九十－無寫四(無捨世)
3,一二三五六七八九十－無寫四(無捨施)
1,一二三五六七－(無四)無事
3,一二四五六－(欠三)欠衫
2,一個一斤，一個十六兩－兩個相當
3,一個人食圓仔－獨吞
3,一個錢，拍廿四個結－凍酸
3,一堆臭狗屎－愈挪愈臭
1,一孔掠雙隻－好孔
1,一孔掠雙隻－好孔(好康)
3,一學屎看三擔－差儕咧
3,一屎礐玉仔看三檐－差遠咧
3,一手夯香一手夯統－(射神)謝神
3,一手夯香，一手夯槍－射神(謝神)
2,一日夫妻－(寡緊)趕緊
2,一日夫妻－寡緊(趕緊)
3,一條索仔扑歸拜百個結－難解
3,一條索仔扑歸百個結－僫敨
3,一條腸仔通尻川－吃啥放啥
2,一欉藤仔結的瓜－苦攏苦，甜攏甜
3,一畚箕塗蚓拄著鴨母－無夠看
3,一畚箕杜蚓拄著鴨母－無夠看
3,一畚箕的塗蚓拄著鴨母－無夠看
3,一盤魚脯仔－全全頭
3,一盤魚脯仔－專專頭
1,一目仔看戲－一目了然
1,一目兮看戲－一目了然
2,一碗飯貯半點鐘－(僫貯)澳底
2,一碗飯貯半點鐘－澳底
3,一礐屎仔看做三擔－差相儕
1,一空掠雙隻－好空
1,一粒匏仔切兩爿－天生一對
3,一粒田螺九碗湯－無味
3,一粒田螺九碗湯－無味無素
3,一粒田螺煮九碗湯－無味
2,一角分作兩半－五分五分
2,一角分兩半－五分五分
2,一角分兩爿－五分五分
3,一部二十四史－嘸知對何講起
2,一間貨賣了了－(通銷)通宵
2,一間貨賣了了－通銷(通宵)
3,一隻豬食十二桶潘－大肚
1,一面抹牆兩面光－會周旋
3,一領被仔三支腿－應付朆了
2,一骹踏上磅仔台－舉足輕重
3,一鹿九鞭－假的較多
3,丁梅仔給請－假無意
3,七個人睏兩頭－顛三倒四
3,七元對分－不三不四
3,七十吸奶嘴仔－老人囝仔性
3,七十嗍奶喙仔－老人囡仔性
3,七十歲吮奶嘴仔－老人囡仔性
3,七月半鴨仔－嘸知死活
3,七月半鴨－姆知死
3,七月半鴨－毋知死活
1,七月紅蟳－厚膏
3,三代好額一代乞食－(散短)散底
3,三代好額，一代乞食－散短(散底)
3,三代粒積，一代開空－了尾仔
3,三代粒積－一代開空
3,三保師父－無夠看
2,三個人放無屎－(無便)無變
2,三個人放無屎－無便(無變)
2,三個人，放無屎－無便(無變)
1,三分錢分二個－一是一，二是二
2,三十六計－走為先
3,三十暗暝看月亮－(無亮)無望
3,三十暗行路－無影
3,三十暗送神－太慢
1,三十暝晾衫仔褲－今年袂乾明年乾
2,三叔公賣荖葉－拄仔好
3,三好加一好－(四好)死好
3,三好加一好－四好(死好)
2,三姑做滿月－(公暢)講暢
2,三姑做滿月－公暢(講暢)
2,三姑做滿月－講暢
3,三寶師父－無夠看
1,三房二廳－(好廳)好聽
1,三房兩廳－好廳(好聽)
3,三斤貓咬四斤鳥鼠－不自量力
3,三更半暝出世－(亥時人)害死人
3,三更燈火五更雞－(苦讀)苦毒
1,三月內，搧扇子－滿面春風
1,三月尾桃花－(都謝了)多謝了
1,三月搖葵扇－滿面春風
3,三月的桃花－紅袂久
3,三月的菜頭－磅心
1,三碗飯兩碗湯－相倚傍兩夫妻
3,三禮拜六點鐘－食醋
1,三藏取經－著猴
1,三藏的冊－(真經)正經
3,三藏的匾擔－(擔經)擔驚
2,三頓呷嘸飽－五堵
2,三頓食無飽－(餓肚)五堵
2,三頓食無飽－餓肚(五堵)
3,三骹醬蠩－(歪肩)故意為難
3,上帝公博輸繳－當龜
3,上帝公拔輸筊－槓龜
3,上帝爺公放屁－神氣
3,中寮死人食甘蔗－無斬節
2,中藥食朆好－換帖
2,主席就位－台中
1,九個人分十塊粿－有量
1,九個人十塊粿－有冗(有量)
2,九塊碗十个人客－(加人)基隆
2,九塊碗十個人－加人(基隆、雞籠)
2,九塊碗十個人－加人(雞籠)
3,九月掠的蟳－腹內空空
3,九月蟳膏－腹內空空
3,九月蟳－無膏
2,九月風颱－無人知
3,乞食下大願－不能實現
3,乞食伴羅漢－好味好素
1,乞食倒轉去茨－倒營(倒贏)
3,乞食假紳士－假大範
3,乞食做忌－(沒什物)沒什麼
3,乞食做忌－(無半碟)無半撇
3,乞食做忌－無合身分
3,乞食做皇帝－呣知按怎做
3,乞食呵咾好身分－毋知家治䆀
3,乞食呵咾身份好－呣知醜
1,乞食唱山歌－唱暢兮
1,乞食唱山歌－涼火
1,乞食唱山歌－窮開心
3,乞食培墓－卸祖公
3,乞食婆做月內－愛啥物無啥物
3,乞食婆綴人走反－加無閒
3,乞食婆綴人造反－趁人
1,乞食抾著黃金－暢死
1,乞食抾黃金－暢𠇺𣍐顧呰
3,乞食拜公媽－卸祖公
3,乞食揹葫蘆－假仙
3,乞食撿著錢－管欲拈(講欲呢)
3,乞食攑蠓摔仔－假仙
1,乞食死佇馬椆內－益算袂䆀
1,乞食死佇馬椆內－算朆醜
1,乞食死佇馬槽內－猶算𣍐䆀
3,乞食爭巷仔頭－爭小利
3,乞食背葫蘆－假仙
3,乞食舉蠓卹仔－假仙
3,乞食討黃蓮－自討苦吃
3,乞食講仙話－胡說
2,乞食賣茭䉀－轉途
2,乞食賣茭苴－轉途
2,乞食賣茭蔗－轉途
3,乞食趕廟公－天地顛到摒
3,乞食跋倒－(摔栱)哈講
3,乞食跋倒－摔管(啥講)
3,乞食跋倒－管加落(講加落)
1,乞食轉厝－倒營(倒贏)
1,乞食轉茨－倒營(倒贏)
1,乞食返茨－(到營)倒贏
3,乞食過日子－靠別人施捨
2,乞食過溪－行李儕
2,乞食過溪－行李多
2,乞食過溪－行李濟
3,也欲山珍，也欲海味－歹款
2,二一添作五－一半一半
3,二三五六七八九十－(無一無四)無意無思
3,二三五六七八九－無一無四(無意無思)
3,二三五六七八九－無意無思
3,二三五六七－(無一無四)無衣無食
3,二三四五六－(無一)無衣
3,二元開五角－(一箍五毛)一箍無毛
3,二十兩拄仔好－(斤四)近視
3,二十兩拄拄好－斤四(近視)
3,二十兩－斤四(近視)
3,二粒楊桃排做伙－(十棯)雜唸
2,二結陳水螺－正十二點
2,二結𦗀水雷－正十二點
1,二角找五仙－(角五)覺悟
1,二郎神－三枝目
3,五佰錢的豬仔－棺一支喙
3,五十歲做和尚－半路出家
2,五堵－餓肚
3,五支手指頭仔－三長兩短
3,五支指頭仔－三長兩短
3,五斗缸掛綰－大矸(大奸)
2,五月十三迎城隍－啥旗嗎有(啥奇嗎有)
2,五月十三－麼旗嘛有(麼奇嘛有)
3,五月種茄仔－無結果
3,五月黃梅天－(無晴)無情
3,五百鮮豬仔－捾一隻喙
1,人佇路燈骹－有影
3,人來客去－請佫辭
3,人來客去－請甲辭
3,人來客去－請閣辭
1,人客放屁－客氣
3,人客罰徛－(無椅子)無意思
3,人客罰徛－無椅賜(無意思)
3,人客罰站－無椅賜(無意思)
1,人徛佇路燈腳－有影
1,人徛佇路燈跤－有影
1,人徛咧路燈骹－有影
3,人心隔一堵牆－歹看
3,人肉鹹鹹－朆食咧
3,人肉鹹鹹－袂食得
3,人趁錢，龜爬壁－真難
1,人，食麻油－鬧熱
3,仁和街兮阿兄－等死
3,仁和街的阿兄仔－等死
3,仕相俥傌炮兵－欠帥
2,仙人扑鼓－有時錯
1,仙人放屁－不同凡響
2,仙人頭殼碗髓－無可能得著
1,佛公嘴－真聖
1,佛寺兮彌勒佛－好笑神
1,佛寺的彌勒佛－好笑神
1,佛蘭西水－食一點氣
3,便所內彈吉他－臭彈
3,便所彈吉他－臭彈
3,便所彈琴－臭彈
3,便所蠟燭－(臭火)臭颺
3,保護三藏去取經－著猴
3,保護視力－小心眼
3,保險公司畏了錢－驚死人
1,俺公仔食雞胘－脆脆
3,倩鬼拆藥單－穩死
3,倩鬼提藥單－穩死
3,倩鬼醫病－包死
3,做師公含哭－包死
3,做賊點燈火－真癮頭
2,健腦丸－捕頭(斧頭)
2,健腦丸－補頭(斧頭)
2,傀儡仔食枝仔冰－驚燒
3,傀儡尪仔－有抽即有震動
3,傳家佛經－(世世唸)啐啐唸
3,傳家佛經－世世唸(踅踅唸)
2,儉錢買檳榔－(留後哺)留後步
2,儉錢買檳榔－留後哺(留後步)
3,元旦摒日拆－第一回
1,先生娘寫兮－細字(細膩)
1,先生娘寫的－(細字)細膩
1,先生娘寫的－細字(細膩)
3,先生搬茨－(冊就是冊)恨就是恨
3,先生節脈－(摸栱)罔講
3,先生節脈－摸講(罔講)
3,內山舉人－草地倯
3,內山舉人－草地傖
2,兩个屎礐三个人放屎－(無便)無變
2,兩个書生相扑－(覓筆)未必
3,兩代的寡婦－(無公夫)無工夫
2,兩角找五分－角五(覺悟)
3,八仙桌欠一支骹－擺朆平
1,八仙過海－各顯神通
1,八仙過海－隨人變通
2,八十歲妓女－耐之(荔枝)
2,八十歲妓女－耐膣(荔枝)
2,八十歲童生－(無考無不考)無可無不可
2,八十歲童生－無考(可)無不考(可)
2,八十歲童生－無考無不考(無可無不可)
2,八十歲老妓女－耐膣(荔枝)
1,八卦山－(大佛)大核、大囫
3,八字無一撇－無眉目
3,八字無半撇－也早咧
3,八戒成仙－豬哥神
1,八月十五的月娘－真明顯
2,八月十五辦年貨－趁早
3,八月節送雞蛋－無這款理由
1,八芝蘭米糕－食有紲
1,八芝蘭米糕－食有續
3,公共便所彈木彈－(激起公糞)激起公憤
3,公共便所－眾人漩(眾人訕)
2,公有土地－官田
3,公賣局－孤行獨市
3,六二－五四三
1,六出祁山－拖老命
2,六月天甲棉被－大甲
2,六月天，蓋棉被－大甲
2,六月棉被－揀人甲
2,六月棉被－揀人蓋
3,六月毛蟹－無膏
2,六月水牛－(等運)等運
2,六月水牛－待揾
2,六月水牛－等運
3,六月無洗身軀－臭死
1,六月祁山－拖老命
3,六月芥菜－假有心
3,六月菜頭－半頭青
3,六月龍眼－(白核)白囫
3,共啞口問路－無採喙
3,共客兄戴孝－呣情願
3,共瘂口問路－無採工
2,冬至無夯筷－漉圓(六圓)
2,冬至無攑筷－搦圓
2,冬至無舉筷－摝圓(六圓)
3,冰箱底講話－冷言冷語
3,冷氣間講話－冷言冷語
3,出山即要請醫生－朆赴
1,出業紀念像－百面
1,出業證書－出書表
1,刀切豆腐－兩面光
3,分屍落鼎－煮人(主人)
2,刑事寄買雞兮錢－袂用得
2,刑事寄買雞的錢－𣍐用得
2,初一早見面－攏講好話
3,初二三的月娘－不明不白
3,初來新娘，月內幼囝－僫款待
3,初十廿五－無理髮(無汝法)
3,刣豬仔送禮－提心吊膽
1,利刀切豆腐－兩面光
1,利刀必豆腐－兩面光
2,剃頭師父教徒弟－對頭開始
3,剃頭店公休－無理髮(無汝法)
3,剃頭店失電－歹剃頭
3,剃頭店歇睏－(無理髮)無汝法
3,剃頭店歇睏－無理髮(無汝法)
3,剉大樹掠飛鳥－愚大呆
3,剉大樹，掠斑鴿－戇呆
3,剖腹提囡仔－破產
2,加蚋埔水牛－好中晝
1,包公斷案－鐵面無私
2,北平博物館－(故宮)雇工
3,北斗牛販仔－套好好
2,北港媽祖出巡－(無旗不有)無奇不有
3,北港媽祖－蔭外境
3,北港媽祖－蔭外莊
3,北港廟壁－(畫仙)話仙
3,北港廟壁－畫仙(話仙)
3,北港廟石壁－(厚畫)厚話
3,北港廟石壁－厚畫(厚話)
2,北港牛墟－闊茫茫
2,北港牛墟－闊莽莽
2,北港牛墟－闊閬閬
2,北港迎媽祖－無旗不有(無奇不有)
3,北港香爐－人人插
3,十七兩－翹翹
3,十二月南風－天現報
3,十二月天睏厝頂－凍霜
3,十二月天睏茨頂－凍霜
3,十二月天翻新厝－寒死
3,十二月天翻新茨－寒死
3,十二月天講話－冷言冷語
3,十二月天食葡萄－凍酸
1,十二月屎桶－拼(清乾淨)
1,十二月屎桶－盡拚
1,十二月屎桶－盡摒
1,十二月屎桶－盡摒(盡拚)
3,十二月爛柑－無瓣(無範)
1,十二月甘蔗－(倒)尾甜
1,十二月甘蔗－倒尾甜
1,十二月甘蔗－倒頭甜
1,十二月甘蔗－兩頭甜
1,十二月甘蔗－尾甜
1,十二月肉湯－(穩凍)穩當
1,十二月肉湯－穩凍(穩當)
1,十二月芥菜－有心
3,十二月風吹－甲無尾
3,十二月風吹－瘋甲無尾
1,十五暝月光－(大亮)大量
3,十五枝拐仔夯雙手－七拐八拐
3,十五枝枴仔夯雙手－七拐八拐
3,十五枝柺仔雙手夯－七拐八拐
3,十五身土地公峙兩爿－七土八土
3,十個一角交落塗骹－一箍散散
3,十個老父－十種(雜種)
3,十個老爸－(十種)雜種
3,十個老爸－十種(雜種)
3,十全欠二味－八珍
3,十全欠兩味－八珍
2,十八歲查娒囡－夠嫁(夠格)
2,十八歲查某囝－夠嫁(夠格)
2,十八歲查某囡－夠嫁(夠格)
3,十八羅漢拚悟空－大車拚
3,十粒雞卵九隻雞仔子－一個壞蛋
3,十老－九膨風
3,十角－一箍散散
1,十隻雞，拍呣見九隻－一看就知
2,千金小姐欲出嫁－大妝(大庄)
2,千金小姐要卜出嫁－大妝(大庄)
1,千金買茨，萬金買茨邊－里仁為美
3,半天大鼓－叮咚
1,半天雲內兮路燈－高明
1,半天雲內的路燈－高明
1,半天雲內點燈－高明
1,半天頂的路燈－高明
3,半斤拄八兩－呣知輕重
3,半斤拄八兩－毋知輕重
2,半斤換八兩－誰也無食虧
3,半暝仔爬山－姆知懸低
3,半暝仔看日頭－夭早咧
3,半暝仔記帳－暗算
3,半暝仔記數－暗算
3,半暝仔食西瓜－天光反症
1,半暝吹電風－暗爽
1,半暝撞城門－有够力
3,半暝死尪－(誤妻)梧棲
3,半暝看日頭－夭早咧
2,半暝過吊橋－步步小心
3,半暝鬼弄門－無好心
3,半暝鬼擃門－無好心
3,半瞑死翁－誤妻(梧棲)
3,半路揭扁擔－中斷
3,半路斷扁擔－中斷
3,半路斷畚擔－中斷
3,博士班畢業－(無校)無效
3,博士班畢業－無校(無效)
2,博歹徼－會贏(下營)
2,博歹繳－會贏(下營)
3,卵屌入烏豆－假目
3,卵屌拄著壁－呣知頭尾
3,卵屌縛大索－(歹束)歹算
3,卵脬互椅仔夾著－歹辦
3,卵脬皮磨剃頭刀－危險
2,厝尾頂披衫－衫矺厝(三塊厝)
2,厝尾頂發白菜－強發
2,厝頂披衫－三塊厝
3,厝鳥仔生鵝卵－誠拼咧
3,反共義士轉去大陸－反起反倒
3,反攻大陸－講笑話
2,古井內，死鮕鮐－臭水
2,古井死鮕鮐－(臭水)秀水
2,古井死鮕鮘－臭水
3,古早的水缸－甕肚
3,叫秀才擔擔－(挑擔)刁難
3,台北人唱思相起－南腔北調
1,台南擔仔麵－好康鬥相報
1,台南擔仔麵－食好(門豆)相報
1,台南擔仔麵－食好鬥相報
2,台南迎媽祖－無奇不有
2,台南迎媽祖－麼旗嘛有(麼奇嘛有)
3,台灣塗－軟
3,台灣糖籠－有去無回
3,台灣蟳－無膏
3,台灣蠟－無膏
2,台鍋甲秋矽－存暖
3,司公吹法螺－嚇鬼
3,司公唸咒－呼神(胡蠅)
3,司公念經－死訣兮
3,司公打桌－嚇鬼
3,司機辭職－想呣開
3,司機辭職－想朆開
3,吃瓜子－吞吞吐吐
3,吊肉跋死貓－看有食無
3,吊鼎－無米可煮
1,向善仔援公事－拄仔好
1,含頭挖－無剉(無錯)
3,吳郭魚仔假赤鯮－無夠紅
3,呂洞賓的棉被－蓋仙
1,呣是在欉黃－隱的(穩的)
3,呣知輕重－(無度量)無肚量
3,和尚分家－(多寺)多事
3,和尚化緣－(無寺)無是
3,和尚扒船－無髮渡(無法度)
2,和尚拜丈姆娘－(妻身何處)棲身何處
3,和尚撐船－(無髮渡)無法度
3,和尚攑雨傘－(無髮無天)無法無天
1,和尚行當店－(廟急)妙極
3,和尚衫－無鈕鈕(無了了)
2,和尚返去北京－倚歸爿
3,和尚頭找虱母－無端生有
3,和尚頭揣虱母－誣賴
3,和尚騙囡仔－(雞姦)加幹
2,員林車頭－普通
2,員林車頭－普通普通
3,哥哥不在家－(嫂來)少來
2,唐山人食冰－驚燒
3,啉滾水放茶米茶－火大
2,啞口仔談戀愛－比來比去
3,啞口兮予蜂叮－無話講
3,啞口兮相罵－毋知啥人著
3,啞口兮矺死囝－無話講
2,啞口兮談戀愛－比來比去
3,啞口兮讀冊－無話講
1,啞口電影－有影無講
3,喙唇皮抹油－滑溜滫
3,喙唇皮抹油－滑溜秀
2,喙唇糊糊仔－歹開喙
2,喙脣糊糊仔－歹開喙
3,喙角抹石灰－白食
3,喙角抹粉－(食白)白食
3,喙鬚搭膏藥－有毛病
3,喙鬚撘藥膏－有毛病
3,喙鬚糊膏藥－有毛病
3,喙齒咬沙－足礙虐
1,四兩豬肉切兩盤－好看佫省錢
1,四兩豬肉切兩盤－好看閣省錢
2,四兩雞仔半斤頭－(大頭雞)大頭家
2,四兩雞仔半斤頭－大頭家
2,四兩雞仔半斤頭－大頭雞
2,四兩雞仔半斤頭－大頭雞(大頭家)
3,四十減二－三八
3,四十錢減兩厘－三八
3,四面桌欠一骹－(朆在)朆多
3,囝仔人痛風，老人疳瘡－無可能兮代誌
3,囝仔人穿大人衫－大軀(大輸)
2,囝仔人穿大人衫－崁跤
2,囝仔人穿大人鞋－偆後
3,囝仔人食甘蔗－食少吐儕
3,囝仔做大戲－做無路來
3,囝仔喙－無半撇
1,囝仔坐火車－嘟嘟好(拄拄好)
3,囝仔學唱歌－無譜
2,囝仔放尿－小港
3,囝仔行路－小人步
3,囝仔跋倒－媽媽敷敷(馬馬虎虎)
3,囝仔食蟳－興管(興講)
1,囡仔人坐火車－嘟嘟好(拄拄好)
2,囡仔人放尿－小港
2,囡仔人穿大人鞋－賰後
3,囡仔做大戲－做朆來
3,囡仔卵－硬無久
3,囡仔和尚唸經－有口無心
3,囡仔唱歌－無譜
2,囡仔放尿－小港
3,囡仔痛風老人疳積－無即款戴誌
2,囡仔穿大人木屐－(伸後)偆後
2,囡仔穿大人衫－蓋骹(崁腳)
3,囡仔行路－小人步
3,囡仔跋倒－(媽媽撫膚)馬馬虎虎
3,囡仔食桌－(搣了)沒了
3,囡仔食毛蟹－(噯栱)愛講
1,囡仔食甘蔗－嚐到甜頭
3,囡仔食甘蔗－食少吐多
3,囡仔食田螺－吱吱啾啾
3,囡仔食紅蟋－(愛栱)愛講
2,國民黨嚇大的－無咧信你
1,國民黨－食免驚
3,圓仔炒大麵－翱翱纏
3,圓仔花－毋知䆀
3,土公仔洗手－(坮完)台灣
3,土公仔洗手－埋完(台灣)
3,土匪做戲－惡作劇
1,土地公呣驚風雨－老神在在
2,土地公坐凸椅－養神
2,土地公帶班－勞神了
1,土地公戴帽－正神
1,土地公樹－無剉(無錯)
1,土地公毋驚風雨吹－老神在在
3,土地公看京戲－亂糟糟
3,土地公看傀儡－愈看愈花
3,土地公看正音－亂操操
3,土地公處斬－無頭神
2,土豆剝殼－愛仁(愛人)
3,在欉黃兮－無蘊(無穩)
3,在欉黃的－無穩
3,地球是圓的－相拄會著
3,坐船攑雨傘－無天無地
3,坐船舉雨傘－無天無地
3,城隍爺兮尻川－歹摸
3,城隍爺出巡－大代誌
3,城隍爺出巡－大戴誌
3,基督徒行入廟內祈禱－行毋著門
2,堰頭上洗腦殼－首當其衝
3,塗州賣鴨蛋－死了
3,塗牛入海－一去不回
3,塗牛入海－一去無回
3,塗豆仁㧒落去豬血桶－血仁(廢人)
2,塗豆剝殼－(愛仁)愛人
2,塗豆剝殼－愛仁(愛人)
